,Date,Open,High,Low,Close,Adj Close,Volume
0,2004-12-31,4.635,4.642857,4.573571,4.6,3.114,69647200
1,2005-01-03,4.627143,4.650714,4.4714279999999995,4.520714,3.060327,172998000
2,2005-01-04,4.5564279999999995,4.676429,4.497857,4.567143,3.091757,274202600
3,2005-01-05,4.604286,4.660714,4.575,4.607143,3.118836,170108400
4,2005-01-06,4.619286,4.6364279999999995,4.523571,4.610714,3.121253,176388800
5,2005-01-07,4.642857,4.973571,4.625,4.946429,3.3485169999999997,556862600
6,2005-01-10,4.987857,5.05,4.848571,4.925714,3.3344949999999995,431327400
7,2005-01-11,4.875,4.939286,4.581429,4.611429,3.121737,652906800
8,2005-01-12,4.675,4.707143,4.521429,4.675714,3.1652549999999997,479925600
.
.
.
.
.
